Reference, Quantity, Value, Footprint, Comments, LCSC
C10 ,1,10u,Inductor_SMD:L_0603_1608Metric,X5R ±10% 50V 10uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, C13585
C11 ,1,120u,Capacitor_SMD:C_1206_3216Metric,X5R 100uF 6.3V ±20% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C15008 
C16 C18 ,2,2.2u,Capacitor_SMD:C_0402_1005Metric,X5R 2.2uF ±10% 10V 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C77002
C1 C3 C5 C6 C7 C8 ,6,0.1u,Capacitor_SMD:C_0402_1005Metric,0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C2655418
C2 C4 C13 C14 C15 C17 ,6,1u,Capacitor_SMD:C_0402_1005Metric,X5R ±10% 10V 1uF 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C389008
C9 ,1,10u,Inductor_SMD:L_1206_3216Metric,X5R ±10% 50V 10uF 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS, C13585 
D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 ,11,LED,LED_SMD:LED_0603_1608Metric,Red 615~630nm 1.9~2.2V 0603 Light Emitting Diodes (LED) RoHS,C2286
D12 ,1,1N5817,Diode_SMD:D_SOD-123,,
D21 ,1,SS16HE3_B/I,Diode_SMD:D_SMA,60V 1A 700mV @ 1A SMA Schottky Barrier Diodes (SBD) ROHS, C211772 
D22 ,1,SMBJ16CD-M3/H,Diode_SMD:D_SMB,Bidirectional 23.1A 26V 17.8V 16V SMB(DO-214AA) TVS,C8830 
H1 H2 H3 H4 ,4,MountingHole,MountingHole:MountingHole_2mm,,
J1 ,1,Conn_02x03_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD,,
J2 ,1,Conn_01x08,Connector_Molex:Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical,,
JP1 ,1,SolderJumper_2_Open,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,
L1 ,1,100uH,Inductor_SMD:L_0805_2012Metric,0805 Inductors (SMD) ROHS 100uH, C68035 
L2 ,1,,Inductor_SMD:L_0402_1005Metric,600Ω @ 100MHz 1 500mA 340mΩ 0402 Ferrite Beads ROHS,C76886
R1 R3 R6 R10 R11 R12 R13 R14 R15 R22 R24 R25 R26 ,13,10k,Resistor_SMD:R_0402_1005Metric,,
R16 ,1,100,Resistor_SMD:R_0402_1005Metric,,
R4 R5 ,2,60,Resistor_SMD:R_0402_1005Metric,60.4Ω ±1% ±200ppm/℃ 1/16W 0402 Chip Resistor - Surface Mount ROHS,C60310
R2 R7 R8 R9 R17 R18 R19 R21 R29 R30 ,10,1k,Resistor_SMD:R_0402_1005Metric,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702
SW1 ,1,SW_Push,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,Top Actuated 50mA @ 12VDC Round Button 160gf SPST SMD Tactile Switches ROHS,C480275
U1 ,1,STM32F042K6Tx,Package_QFP:LQFP-32_7x7mm_P0.8mm,,
U2 ,1,SN65HVD230,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,Transceiver 1/1 CAN 1Mbps SOIC-8_150mil CAN ICs ROHS,C12084
U3 ,1,2594,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,500mA 40V SOP-8 DC-DC Converters ROHS, C316691
U4 ,1,UG-2864HSWEG01,custom:SSH1106_Bottom,,
