Comment,Designator,Footprint,LCSC
10u,C10,Inductor_SMD:L_0603_1608Metric, C13585
120u,C11,Capacitor_SMD:C_1206_3216Metric,C15008 
2.2u,"C16,C18",Capacitor_SMD:C_0402_1005Metric,C77002
0.1u,"C1,C3,C5,C6,C7,C8",Capacitor_SMD:C_0402_1005Metric,C2655418
1u,"C2,C4,C13,C14,C15,C17",Capacitor_SMD:C_0402_1005Metric,C389008
10u,C9,Inductor_SMD:L_1206_3216Metric, C13585 
LED,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11",LED_SMD:LED_0603_1608Metric,C2286
1N5817,D12,Diode_SMD:D_SOD-123,
SS16HE3_B/I,D21,Diode_SMD:D_SMA, C211772 
SMBJ16CD-M3/H,D22,Diode_SMD:D_SMB,C8830 
MountingHole,"H1,H2,H3,H4",MountingHole:MountingHole_2mm,
Conn_02x03_Odd_Even,J1,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD,
Conn_01x08,J2,Connector_Molex:Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical,
SolderJumper_2_Open,JP1,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
100uH,L1,Inductor_SMD:L_0805_2012Metric, C68035 
30,L2,Inductor_SMD:L_0402_1005Metric,C76886
10k,"R1,R3,R6,R10,R11,R12,R13,R14,R15,R22,R24,R25,R26",Resistor_SMD:R_0402_1005Metric,
100,R16,Resistor_SMD:R_0402_1005Metric,
60,"R4,R5",Resistor_SMD:R_0402_1005Metric,C60310
1k,"R2,R7,R8,R9,R17,R18,R19,R21,R29,R30",Resistor_SMD:R_0402_1005Metric,C11702
SW_Push,SW1,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C480275
STM32F042K6Tx,U1,Package_QFP:LQFP-32_7x7mm_P0.8mm,
SN65HVD230,U2,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C12084
2594,U3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm, C316691
UG-2864HSWEG01,U4,custom:SSH1106_Bottom,
