Comment,Designator,Footprint,LCSC
120u,C11,Capacitor_SMD:C_1206_3216Metric,C15008 
2.2u,"C16,C18",Capacitor_SMD:C_0402_1005Metric,C170151
0.1u,"C1,C3,C5,C13",Capacitor_SMD:C_0402_1005Metric,C1525
1u,"C2,C4,C14,C15,C17",Capacitor_SMD:C_0402_1005Metric,C389008
0,"C7,C8",Capacitor_SMD:C_0402_1005Metric,
10u,"C9,C10",Inductor_SMD:L_1206_3216Metric,C13585 
LED,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11",LED_SMD:LED_0603_1608Metric,C2286
1N5817,D12,Diode_SMD:D_SOD-123,C727113 
SS16HE3_B/I,D21,Diode_SMD:D_SMA,C211772 
SMBJ16CD-M3/H,D22,Diode_SMD:D_SMB,C8830 
MountingHole,"H1,H2,H3,H4",MountingHole:MountingHole_2mm,
Conn_02x03_Odd_Even,J1,Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,
Conn_01x08,J2,Connector_Molex:Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical,
SolderJumper_2_Open,"JP1,JP2,JP3",Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
100uH,L1,Inductor_SMD:L_0805_2012Metric,C68035 
30,L2,Inductor_SMD:L_0402_1005Metric,C76886
10k,"R1,R3,R10,R11,R12,R13,R14,R15,R24,R25,R26",Resistor_SMD:R_0402_1005Metric,C25744 
120,R20,Resistor_SMD:R_0402_1005Metric,C60310
1k,"R2,R7,R8,R9,R16,R17,R18,R19,R21,R29,R30",Resistor_SMD:R_0402_1005Metric,C11702
SW_Push,SW1,Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm,C480275
TestPoint,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8",TestPoint:TestPoint_Pad_D1.0mm,
STM32F103C8Tx,U1,Package_QFP:LQFP-48_7x7mm_P0.5mm,C8734 
SN65HVD230,U2,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C12084
2594,U3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C316691
UG-2864HSWEG01,U4,custom:SSH1106_Bottom,
