Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0603_1608Metric",153.687500,-104.625000,90.000000,bottom
"D2","LED","LED_0603_1608Metric",156.304000,-94.592000,90.000000,bottom
"D3","LED","LED_0603_1608Metric",154.028771,-84.617842,270.000000,bottom
"D4","LED","LED_0603_1608Metric",146.067500,-76.621500,180.000000,bottom
"D5","LED","LED_0603_1608Metric",137.812500,-72.303500,0.000000,bottom
"D6","LED","LED_0603_1608Metric",128.169248,-72.172493,0.000000,bottom
"D7","LED","LED_0603_1608Metric",120.540500,-76.617030,0.000000,bottom
"D8","LED","LED_0603_1608Metric",112.579229,-84.617842,90.000000,bottom
"D9","LED","LED_0603_1608Metric",110.304000,-94.592000,270.000000,bottom
"D10","LED","LED_0603_1608Metric",120.832600,-111.051200,90.000000,bottom
"D11","LED","LED_0603_1608Metric",112.579229,-104.566158,90.000000,bottom
"SW1","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",145.191200,-110.441600,225.000000,bottom
