Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,130.383,-79.9362,180,top
C2,1u,C_0402_1005Metric,140.4668,-90.4772,270,top
C3,0.1u,C_0402_1005Metric,143.3878,-86.0322,0,top
C4,1u,C_0402_1005Metric,143.3878,-84.8892,0,top
C5,0.1u,C_0402_1005Metric,119.588,-104.244,0,top
C6,0.1u,C_0402_1005Metric,142.5623,-89.258,270,top
C7,0,C_0402_1005Metric,124.1854,-110.5686,270,top
C8,0,C_0402_1005Metric,123.1186,-114.8358,180,top
C9,10u,L_1206_3216Metric,148.798,-108.3588,270,top
C10,10u,L_1206_3216Metric,147.8963,-100.0149,0,top
C11,120u,C_1206_3216Metric,149.7886,-87.48,180,top
C12,0.1u,C_0402_1005Metric,119.8928,-80.495,180,top
C13,0.1u,C_0402_1005Metric,137.1775,-95.7858,270,top
C14,1u,C_0402_1005Metric,135.3106,-95.7858,270,top
C15,1u,C_0402_1005Metric,125.1456,-96.5224,270,top
C16,2.2u,C_0402_1005Metric,140.3525,-96.5732,0,top
C17,1u,C_0402_1005Metric,123.8806,-96.5224,270,top
C18,2.2u,C_0402_1005Metric,141.9146,-95.3921,0,top
D12,1N5817,D_SOD-123,151.4396,-98.8084,270,top
D21,SS16HE3_B/I,D_SMA,148.3916,-103.3296,0,top
D22,SMBJ16CD-M3/H,D_SMB,144.734,-110.975,270,top
L1,100uH,L_0805_2012Metric,151.6174,-93.4236,90,top
L2,30,L_0402_1005Metric,143.3858,-87.3022,180,top
R1,10k,R_0402_1005Metric,137.9014,-91.7472,0,top
R2,1k,R_0402_1005Metric,143.4894,-82.8064,180,top
R3,10k,R_0402_1005Metric,114.7366,-97.259,90,top
R7,1k,R_0402_1005Metric,143.4894,-80.0632,180,top
R8,1k,R_0402_1005Metric,143.4894,-81.4348,180,top
R9,1k,R_0402_1005Metric,115.905,-107.9544,270,top
R10,10k,R_0402_1005Metric,116.413,-99.037,180,top
R11,10k,R_0402_1005Metric,116.54,-92.814,180,top
R12,10k,R_0402_1005Metric,116.54,-94.211,0,top
R13,10k,R_0402_1005Metric,116.54,-95.608,180,top
R14,10k,R_0402_1005Metric,116.413,-100.307,180,top
R15,10k,R_0402_1005Metric,116.413,-101.577,180,top
R16,1k,R_0402_1005Metric,139.5016,-75.3642,270,top
R17,1k,R_0402_1005Metric,141.1399,-75.3642,270,top
R18,1k,R_0402_1005Metric,137.8633,-75.3642,270,top
R19,1k,R_0402_1005Metric,136.225,-75.3642,270,top
R20,120,R_0402_1005Metric,123.2202,-112.7276,270,top
R21,1k,R_0402_1005Metric,134.5867,-75.3642,270,top
R24,10k,R_0402_1005Metric,130.8656,-96.6748,0,top
R25,10k,R_0402_1005Metric,130.7894,-95.2524,180,top
R26,10k,R_0402_1005Metric,126.4206,-96.5224,270,top
R29,1k,R_0402_1005Metric,112.349,-93.576,270,top
R30,1k,R_0402_1005Metric,114.4572,-104.6758,90,top
U1,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,136.2504,-84.7876,180,top
U2,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,119.588,-108.816,270,top
U3,2594,SOIC-8_3.9x4.9mm_P1.27mm,147.1724,-92.9156,270,top
